City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Dedza,MW,-14.3779,34.3332,59.34,94,99,6.02,overcast clouds
291,Kaniama,CD,-7.5667,24.1833,65.95,97,100,1.32,overcast clouds
292,Srednekolymsk,RU,67.45,153.6833,-33.84,100,20,1.83,few clouds
293,Port Blair,IN,11.6667,92.75,80.82,78,77,3.44,broken clouds
294,Shitanjing,CN,39.2342,106.3439,34.74,34,9,5.61,clear sky
295,Sinor,IN,21.9167,73.3333,59.02,49,23,5.93,few clouds
296,Tonneins,FR,44.3921,0.3124,41.67,90,100,10.36,overcast clouds
297,North Bend,US,43.4065,-124.2243,52.86,90,75,5.75,broken clouds
298,Katsuura,JP,35.1333,140.3,59.11,49,0,4.85,clear sky
299,Mumford,GH,5.2618,-0.759,80.38,82,8,8.57,clear sky
300,Klyuchi,RU,52.2667,79.1667,4.77,94,65,7.65,broken clouds
301,Dese,ET,11.1333,39.6333,48.18,65,56,1.81,broken clouds
302,Atar,MR,20.5169,-13.0499,78.42,29,91,3.53,overcast clouds
303,Pachmarhi,IN,22.4667,78.4333,57.56,66,1,1.83,clear sky
304,Carnarvon,AU,-24.8667,113.6333,96.87,11,0,18.41,clear sky
305,Barahona,DO,18.2085,-71.1008,77.36,77,41,1.5,scattered clouds
306,Guerrero Negro,MX,27.9769,-114.0611,67.98,52,0,3.42,clear sky
307,Gizo,SB,-8.103,156.8419,84.6,70,13,3.8,light rain
308,Tessalit,ML,20.1986,1.0114,73.2,36,2,5.19,clear sky
309,Bandarbeyla,SO,9.4942,50.8122,78.6,79,93,15.08,overcast clouds
310,Soyo,AO,-6.1349,12.3689,78.37,84,100,4.0,overcast clouds
311,Jumla,NP,29.2747,82.1838,41.23,42,0,2.59,clear sky
312,Dikson,RU,73.5069,80.5464,-3.23,98,100,4.0,overcast clouds
313,Zunyi,CN,27.6867,106.9072,52.45,66,8,2.53,clear sky
314,Codrington,AU,-38.2667,141.9667,54.18,84,100,23.96,overcast clouds
315,Adrar,MR,20.5022,-10.0711,74.95,34,100,5.12,overcast clouds
316,Mahibadhoo,MV,3.7833,72.9667,81.21,76,93,11.7,overcast clouds
317,Abha,SA,18.2164,42.5053,53.42,87,0,0.0,clear sky
318,Varhaug,NO,58.6147,5.6457,34.9,74,100,4.81,light snow
319,Kajaani,FI,64.2273,27.7285,5.05,85,90,1.14,overcast clouds
320,Taltal,CL,-25.4,-70.4833,60.53,81,40,2.37,scattered clouds
321,Chumikan,RU,54.7183,135.315,12.36,92,100,9.26,overcast clouds
322,Lagoa,PT,39.05,-27.9833,61.57,68,16,29.66,few clouds
323,Maine-Soroa,NE,13.2114,12.0241,72.84,22,2,8.95,clear sky
324,Kenai,US,60.5544,-151.2583,18.03,88,90,0.0,light snow
325,Lamar,US,33.6668,-95.5836,47.86,49,24,9.4,few clouds
326,Itapirapua,BR,-15.8233,-50.6133,76.05,66,99,2.51,overcast clouds
327,Oranjestad,AW,12.524,-70.027,82.35,78,40,11.5,scattered clouds
328,Landskrona,SE,55.8708,12.8302,40.1,68,100,14.29,overcast clouds
329,Linxia,CN,35.6003,103.2064,36.84,31,22,1.41,few clouds
330,Tarabuco,BO,-19.1667,-64.9167,53.92,77,100,4.5,overcast clouds
331,Mackay,AU,-21.15,149.2,84.04,83,75,10.36,thunderstorm with rain
332,Cherskiy,RU,68.75,161.3,-30.41,100,100,4.43,overcast clouds
333,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,87,75,4.0,broken clouds
334,Karangasem,ID,-8.45,115.6167,83.28,67,84,7.49,broken clouds
335,Krasnyy Yar,RU,46.5331,48.3456,19.33,68,0,3.87,clear sky
336,Bundaberg,AU,-24.85,152.35,79.21,90,75,8.99,light rain
337,Caravelas,BR,-17.7125,-39.2481,70.97,81,6,5.46,clear sky
338,Itumbiara,BR,-18.4192,-49.2153,77.79,55,100,1.77,overcast clouds
339,Berdigestyakh,RU,62.0989,126.6992,-12.19,96,69,3.24,broken clouds
340,Maragogi,BR,-9.0122,-35.2225,78.12,82,17,6.38,few clouds
341,Terenos,BR,-20.4422,-54.8603,82.11,69,20,6.91,moderate rain
342,Brownwood,US,31.7093,-98.9912,47.21,46,1,5.75,clear sky
343,Chumphon,TH,10.3333,98.8333,71.71,86,85,4.47,overcast clouds
344,Khash,IR,28.2211,61.2158,47.44,50,0,4.59,clear sky
345,Bang Saphan,TH,11.2126,99.5117,80.55,73,100,9.22,overcast clouds
346,Rehoboth,NA,-23.3167,17.0833,59.81,21,0,8.32,clear sky
